rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
148,Blue|Purple|Red|Pink,#003776|#6C47B2|#E72F1D|#F1A1AF,33.2820,29.1707,27.9496,26.8999,25.7725,97.6999,28.0353
149,Dark Grey|Polymaker Teal|Purple|Red,#485259|#4CC0C7|#6C47B2|#E72F1D,33.6091,29.2721,28.0116,26.8227,25.2694,90.2926,28.0474
150,Purple|Cold White|Magenta|Orange,#6C47B2|#D9DFE5|#F24574|#F67405,32.2571,29.0956,28.1511,27.0400,25.2602,75.2141,28.0678
151,Brown|Dark Olive Drab|Purple|Red,#55331A|#575B54|#6C47B2|#E72F1D,35.0663,29.2407,27.9102,26.9049,25.8131,90.7043,28.0728
152,Purple|Tan|Red|White,#6C47B2|#A79E82|#E72F1D|#EBF7FF,32.4698,29.0709,28.0933,27.0755,25.5887,86.5665,28.0732
153,Green|Dark Olive Drab|Purple|Orange,#06924D|#575B54|#6C47B2|#F67405,31.7483,28.9221,28.1672,27.2343,25.4015,65.2913,28.0782
154,Purple|Tan|Cold White|Red,#6C47B2|#A79E82|#D9DFE5|#E72F1D,32.3525,29.0232,28.1098,27.1542,25.6217,87.8604,28.0887
155,Purple|Pink|Magenta|Yellow,#6C47B2|#F1A1AF|#F24574|#FFE800,33.1924,29.2082,28.1013,26.9731,25.1063,77.5324,28.0906
156,Purple|Grey|Tan|Red,#6C47B2|#8C9099|#A79E82|#E72F1D,32.3311,29.0362,28.1073,27.1499,25.7459,86.2645,28.0930
157,Azure Blue|Black|Lime Green|Magenta,#0066D9|#080A0D|#D5D701|#F24574,37.9874,29.7135,27.9965,26.5496,24.8233,52.9262,28.1316
158,Polymaker Teal|Purple|Olive Green|Red,#4CC0C7|#6C47B2|#948902|#E72F1D,33.8043,29.1796,28.0879,27.1412,25.7732,71.0739,28.1604
159,Azure Blue|Dark Grey|Lime Green|Red,#0066D9|#485259|#D5D701|#E72F1D,33.6174,29.4182,28.1617,26.9969,25.4880,50.8609,28.2076
160,Brown|Purple|Grey|Red,#55331A|#6C47B2|#8C9099|#E72F1D,35.3767,29.4530,28.0631,26.9648,25.7210,92.9370,28.2089
161,Purple|White|Magenta|Yellow,#6C47B2|#EBF7FF|#F24574|#FFE800,33.2305,29.2957,28.2292,27.1246,25.2596,75.9761,28.2102
162,Dark Grey|Purple|Red|White,#485259|#6C47B2|#E72F1D|#EBF7FF,33.7469,29.4498,28.1920,27.0487,25.6087,90.5956,28.2493
163,Purple|Olive Green|Red|White,#6C47B2|#948902|#E72F1D|#EBF7FF,33.8164,29.2525,28.1911,27.2643,25.9105,71.6964,28.2584
164,Black|Brown|Purple|Red,#080A0D|#55331A|#6C47B2|#E72F1D,36.0614,29.4763,28.0520,27.0405,26.0516,93.1150,28.2584
165,Purple|Olive Green|Tan|Red,#6C47B2|#948902|#A79E82|#E72F1D,33.8023,29.2918,28.2226,27.2904,25.9539,71.3674,28.2911
166,Black|Purple|Red|Magenta,#080A0D|#6C47B2|#E72F1D|#F24574,36.0884,29.5304,28.0934,27.0629,26.0829,95.7091,28.2967
167,Blue|Black|Purple|Red,#003776|#080A0D|#6C47B2|#E72F1D,36.0094,29.5227,28.0984,27.0717,26.0889,95.7072,28.2972
168,Polymaker Teal|Purple|Tan|Red,#4CC0C7|#6C47B2|#A79E82|#E72F1D,32.5453,29.2837,28.3406,27.3133,25.7837,86.5735,28.2985
169,Purple|Lime Green|Pink|Magenta,#6C47B2|#D5D701|#F1A1AF|#F24574,33.3185,29.4509,28.3464,27.1527,25.2578,69.5041,28.3018
170,Green|Polymaker Teal|Purple|Orange,#06924D|#4CC0C7|#6C47B2|#F67405,31.4620,29.1136,28.4487,27.5423,25.6996,65.7570,28.3280
171,Green|Purple|Cold White|Orange,#06924D|#6C47B2|#D9DFE5|#F67405,31.4377,29.1125,28.4538,27.5480,25.7041,65.7647,28.3302
172,Green|Purple|Grey|Orange,#06924D|#6C47B2|#8C9099|#F67405,31.4494,29.1152,28.4518,27.5462,25.7056,65.7647,28.3307
173,Green|Purple|Tan|Orange,#06924D|#6C47B2|#A79E82|#F67405,31.4370,29.1137,28.4551,27.5495,25.7063,65.7647,28.3316
